country,count,percentage
"Spain",82,12.31
"China",54,8.11
"Argentina",42,6.31
"United States",38,5.71
"Vietnam",35,5.26
"Turkey",34,5.11
"Russia",28,4.2
"Ukraine",23,3.45
"India",22,3.3
"Mexico",21,3.15
"Brazil",19,2.85
"Greece",19,2.85
"United Kingdom",19,2.85
"Bangladesh",18,2.7
"Italy",17,2.55
"Germany",16,2.4
"nan",12,1.8
"Chile",10,1.5
"Bolivia",9,1.35
"Indonesia",9,1.35
"France",8,1.2
"Romania",8,1.2
"Serbia",7,1.05
"Lithuania",6,0.9
"Nigeria",6,0.9
"Poland",6,0.9
"Colombia",5,0.75
"Israel",5,0.75
"Nepal",5,0.75
"Portugal",5,0.75
"Sri Lanka",5,0.75
"Malawi",4,0.6
"Peru",4,0.6
"South Korea",4,0.6
"Venezuela",4,0.6
"Bulgaria",3,0.45
"Canada",3,0.45
"Croatia",3,0.45
"Malaysia",3,0.45
"South Africa",3,0.45
"Thailand",3,0.45
"Albania",2,0.3
"Australia",2,0.3
"Cyprus",2,0.3
"Haiti",2,0.3
"Japan",2,0.3
"Latvia",2,0.3
"Macedonia",2,0.3
"Algeria",1,0.15
"Armenia",1,0.15
