url,url_mobile,title,seendate,socialimage,domain,language,sourcecountry
https://www.politika.rs/scc/clanak/739099/ostrije-mere-protiv-nezakonitog-odlaganja-otpada,https://www.politika.rs/sr/articles/amp/739099,Оштрије мере против незаконитог одлагања отпада,20260315T154500Z,https://www.politika.rs/thumbs/upload/Article/Image/2026_03/757z468_deponijepixabay.jpg,politika.rs,Serbian,Serbia
https://legalinsurrection.com/2026/03/after-antisemitism-spike-under-mamdani-nypd-revises-how-it-reports-hate-crimes-data/,https://legalinsurrection.com/2026/03/after-antisemitism-spike-under-mamdani-nypd-revises-how-it-reports-hate-crimes-data/amp/,"After Antisemitism Spike Under Mamdani , NYPD Revises How It Reports Hate Crimes Data",20260315T144500Z,https://legalinsurrection.com/wp-content/uploads/2020/06/NYPD-Car.jpg,legalinsurrection.com,English,United States
https://korrespondent.net/ukraine/4862590-napadenye-na-sudui-v-dnepre-podrobnosty-ot-polytsyy,https://korrespondent.net/amp/4862590-napadenye-na-sudui-v-dnepre-podrobnosty-ot-polytsyy,Нападение на судью в Днепре : подробности от полиции,20260315T151500Z,https://kor.ill.in.ua/m/1260x900/4391634.jpg,korrespondent.net,Russian,Ukraine
https://www.stern.de/gesellschaft/regional/sachsen-anhalt/kriminalitaet--messerattacke-bei-streit-in-halle---mann-schwer-verletzt-37223388.html,,Kriminalität : Messerattacke bei Streit in Halle - Mann schwer verletzt,20260315T154500Z,https://image.stern.de/37223390/t/r4/v1/w1440/r1.7778/-/15--ccf4i223nwv4axs2048jpeg---99ff1acb7aaacd51.jpg,stern.de,German,Germany
https://sud.ua/uk/news/ukraine/355848-v-dnepre-neizvestnye-napali-na-sudyu-politsiya-otkryla-dva-ugolovnykh-proizvodstva,,У Дніпрі невідомі напали на суддю поліція відкрила два кримінальні провадження,20260315T141500Z,https://sud.ua/uploads/news/2026/03/15/3b28f09c98f7c8e0f3ce6a0b4309cc1280497b6f.png,sud.ua,Ukrainian,Ukraine
https://www.tvguide.co.uk/schedule/f4fc3659-2a6e-5050-8d48-a73f748f9dae/britains-almost-perfect-murders,,Britain Almost Perfect Murders,20260315T153000Z,https://tv.assets.pressassociation.io/bffda84f-c751-5c7e-afac-f7ed74650fdd.jpg,tvguide.co.uk,English,United Kingdom
https://www.tvguide.co.uk/schedule/a21a9f52-b779-5f35-a74c-a4c5f3936f9b/killer-grannies,,Killer Grannies,20260315T144500Z,https://tv.assets.pressassociation.io/b2fb223a-b4b8-55bf-8c38-451e17f5a58a.jpg,tvguide.co.uk,English,United Kingdom
https://nld.com.vn/chong-no-sung-giet-vo-dung-dao-dam-tu-vong-1-nguoi-dan-ong-roi-tu-sat-196260315212603634.htm,,Chồng nổ súng sát hại vợ và đâm người đàn ông tử vong tại Hưng Yên,20260315T154500Z,https://nld.mediacdn.vn/zoom/600_315/291774122806476800/2026/3/15/truy-bat-nghi-pham-no-sung-bat-chet-2-nguoi-o-hung-yen-18041124-1773584254546893796871-30-0-480-720-crop-1773584555034342393408.jpg,nld.com.vn,Vietnamese,Vietnam
https://ekantipur.com/national/2026/03/15/2-arrested-in-connection-with-hyatt-hotel-vandalism-and-arson-44-38.html,,हायत होटल तोडफोड र आगजनीमा संलग्न २ जना पक्राउ,20260315T144500Z,https://assets-cdn.ekantipur.com/uploads/source/news/kantipur/2018/default/ekantipur-default-2025.png,ekantipur.com,Nepali,Nepal
https://kenh14.vn/bi-kich-gia-dinh-o-hung-yen-nguoi-dan-ong-no-sung-sat-hai-vo-tiep-tuc-gay-an-truoc-khi-duoc-phat-hien-tu-vong-215260315214445464.chn,https://m.kenh14.vn/bi-kich-gia-dinh-o-hung-yen-nguoi-dan-ong-no-sung-sat-hai-vo-tiep-tuc-gay-an-truoc-khi-duoc-phat-hien-tu-vong-215260315214445464.chn,"Bi kịch gia đình ở Hưng Yên : Người đàn ông nổ súng sát hại vợ , tiếp tục gây án trước khi được phát hiện tử vong",20260315T154500Z,,kenh14.vn,Vietnamese,Vietnam
https://www.t-online.de/nachrichten/panorama/menschen-schicksale/id_101170944/vermisstenfall-in-celle-blutspur-bricht-nach-200-metern-abrupt-ab.html,,Vermisstenfall in Celle : Blutspur bricht nach 200 Metern abrupt ab,20260315T143000Z,https://images.t-online.de/2026/03/7WAvtS0DwtA3/16x153:365x205/fit-in/1200x0/michelle-h-die-polizei-veroeffentlichte-am-sonntag-neue-fotos-der-gesuchten.jpg,t-online.de,German,Germany
https://tn.com.ar/policiales/2026/03/15/un-joven-fue-asesinado-de-un-cuchillazo-en-el-cuello-a-la-salida-del-cumpleanos-de-su-novia-en-punta-alta/,https://tn.com.ar/policiales/2026/03/15/un-joven-fue-asesinado-de-un-cuchillazo-en-el-cuello-a-la-salida-del-cumpleanos-de-su-novia-en-punta-alta/?outputType=amp,Un joven fue asesinado de un cuchillazo en el cuello a la salida del cumpleaños de su novia en Punta Alta,20260315T153000Z,https://tn.com.ar/resizer/v2/santiago-renna-merlo-tenia-22-anos-foto-facebook-santiago-renna-ZNZFSYVVFZAFZDE5SARCCSOBQY.png?auth=ad3aa99ec913d28b1518824bb792e56bef8d56eff00d61e28d6fd0b7b1c7ba64,tn.com.ar,Spanish,Argentina
https://www.wprost.pl/zycie/12276516/najlepsze-do-zycia-miasta-w-polsce-opublikowano-ranking.html,https://www.wprost.pl/amp/12276516/najlepsze-do-zycia-miasta-w-polsce-opublikowano-ranking.html,Najlepsze do życia miasta w Polsce . Opublikowano ranking – Wprost,20260315T144500Z,https://img.wprost.pl/img/najlepsze-do-zycia-miasta-w-polsce-opublikowano-ranking/56/8b/72744f2757e20433a48e2f9e1ce7.webp,wprost.pl,Polish,Poland
https://www.yenisafak.com/gundem/bakan-goktas-islamofobi-yalnizca-bir-onyargi-degil-acik-bir-ayrimcilik-ve-nefret-sucudur-4806235,/amphtml/gundem/bakan-goktas-islamofobi-yalnizca-bir-onyargi-degil-acik-bir-ayrimcilik-ve-nefret-sucudur-4806235,"Bakan Göktaş : İslamofobi yalnızca bir önyargı değil , açık bir ayrımcılık ve nefret suçudur",20260315T154500Z,https://img.piri.net/piri/upload/3/2026/3/15/43fedcf9-cunabj8w229qy1q2mbsb7j.webp,yenisafak.com,Turkish,Turkey
https://www.ellitoral.com/sucesos/rosario-mataron-joven-disparos-zona-sur_0_JKkzGf6Xbp.html,https://www.ellitoral.com/sucesos/rosario-mataron-joven-disparos-zona-sur_0_JKkzGf6Xbp.amp.html,Rosario : mataron de varios disparos a una joven de 18 años,20260315T144500Z,https://www.ellitoral.com/images/2026/03/15/aXp0itDe0_1300x655__1.jpg,ellitoral.com,Spanish,Argentina
http://www.haberler.com/politika/bakan-goktas-tan-islamofobi-ile-mucadele-gunu-mesaji-19660460-haberi/,https://www.haberler.com/amp/bakan-goktas-tan-islamofobi-ile-mucadele-gunu-mesaji-19660460-haberi/,"Bakan Göktaş :  İslamofobi yalnızca bir önyargı değil , açık bir ayrımcılık ve nefret suçudur  ",20260315T143000Z,,haberler.com,Turkish,Turkey
https://baomoi.com/bat-giu-nghi-pham-bit-mat-xong-vao-phong-tap-cuop-day-chuyen-vang-sau-6-gio-gay-an-c54701042.epi,,Bắt giữ nghi phạm bịt mặt xông vào phòng tập cướp dây chuyền vàng sau 6 giờ gây án,20260315T154500Z,,baomoi.com,Vietnamese,Vietnam
https://www.hani.co.kr/arti/area/capital/1249448.html,,  스토킹 자동경보  조치 있었지만 … 경찰 신청 안 해,20260315T143000Z,https://flexible.img.hani.co.kr/flexible/normal/800/422/imgdb/original/2026/0315/20260315502163.webp,hani.co.kr,Korean,South Korea
https://www.lasexta.com/noticias/sociedad/detenidos-asesinato-francisca-cadenas-amordazaron-ataron-manos-desnudaron-cintura-abajo_2026031569b6bee5e1ff634075e8dbf4.html,https://amp.lasexta.com/noticias/sociedad/detenidos-asesinato-francisca-cadenas-amordazaron-ataron-manos-desnudaron-cintura-abajo_2026031569b6bee5e1ff634075e8dbf4.html,"Los asesinos de Francisca Cadenas la amordazaron , le ataron las manos y la desnudaron de cintura para abajo",20260315T153000Z,"https://fotografias.lasexta.com/clipping/cmsimages01/2026/03/09/B8C767B2-3C66-4115-90E7-AD8DDCABD6BE/novedades-inquietante-desaparicion-francisca-cadenas-2017-uco-toma-declaracion-dos-hermanos-vecinos-hornachos-badajoz_69.jpg?crop=1920,1080,x0,y0&optimize=low&format=jpg",lasexta.com,Spanish,Spain
https://www.weser-kurier.de/landkreis-diepholz/stadt-syke/syke-stadtbibliothek-wird-fuer-true-crime-vortrag-zum-tatort-doc84zj9mezuz9i01mzd3s,,Syke : Stadtbibliothek wird für True - Crime - Vortrag zum Tatort,20260315T150000Z,"https://img.weser-kurier.de/image/02a3-2026e8f29139-2ba9008fe6f6-1000/1200,16-9,med,50,50,1_5000_3327_5000_2812_1_0_0_1_0_-257.5/Landscapedoc84ziehlvk5c118q9wnmc-jpg.webp",weser-kurier.de,German,Germany
https://www.phunuonline.com.vn/bat-ke-xong-vao-phong-tap-aerobic-cuop-day-chuyen-vang-cua-nguoi-phu-nu-a1577426.html,,Bắt kẻ xông vào phòng tập Aerobic cướp dây chuyền vàng của người phụ nữ,20260315T154500Z,https://image.phunuonline.com.vn/news/2026/20260315/thumbnail/750x450/bat-ke-xong-vao-phong-tap-aerobic-_1773583792.png,phunuonline.com.vn,Vietnamese,Vietnam
https://www.elperiodicodearagon.com/sucesos/2026/03/15/asesinos-francisca-cadenas-amordazaron-desnudaron-ataron-127985504.html,https://www.elperiodicodearagon.com/sucesos/2026/03/15/asesinos-francisca-cadenas-amordazaron-desnudaron-ataron-127985504.amp.html,"FRANCISCA CADENAS DESNUDARON | Los asesinos de Francisca Cadenas la amordazaron , le ataron las manos y la desnudaron de cintura para abajo",20260315T150000Z,https://estaticos-cdn.prensaiberica.es/clip/e47c74f7-1237-48d7-9ef7-97d886148b37_16-9-discover-aspect-ratio_default_0_x683y256.jpg,elperiodicodearagon.com,Spanish,Spain
https://timesofindia.indiatimes.com/city/chennai/modern-day-nero-bjp-attacks-mk-stalin-over-rising-violence-against-women-in-tamil-nadu/articleshow/129586457.cms,https://timesofindia.indiatimes.com/city/chennai/modern-day-nero-bjp-attacks-mk-stalin-over-rising-violence-against-women-in-tamil-nadu/amp_articleshow/129586457.cms,  Modern - day Nero : BJP attacks MK Stalin over rising violence against women in Tamil Nadu | Chennai News,20260315T150000Z,"https://static.toiimg.com/thumb/msid-129586516,width-1280,height-720,imgsize-41796,resizemode-6,overlay-toi_sw,pt-32,y_pad-600/photo.jpg",timesofindia.indiatimes.com,English,India
https://www.europapress.es/illes-balears/noticia-detenido-estafar-mas-millon-euros-facturas-falsas-entramado-40-empresas-20260315115249.html,,Detenido por estafar más de un millón de euros con facturas falsas de un entramado de 40 empresas,20260315T141500Z,https://img.europapress.es/fotoweb/fotonoticia_20260315115249_1200.jpg,europapress.es,Spanish,Spain
https://www.irishnews.com/news/northern-ireland/police-probe-as-13-lambs-killed-in-shocking-crime-in-co-down-KNEKGX6EVZEZVF4XGHQO7XJVE4/,,Police probe as 13 lambs killed in  shocking crime  in Co Down – The Irish News,20260315T141500Z,https://www.irishnews.com/resizer/v2/V2UM3XDXQJIKJJWSYVM2OFVTOQ.jpg?smart=true&auth=1d3feb51a3a2870cc41bfdb98c8f45651e6ac98fbf6e2483cdc9857d7bf4e26c,irishnews.com,English,United Kingdom
https://www.correio24horas.com.br/brasil/moraes-autoriza-transferencia-de-condenados-no-caso-marielle-para-rj-0326,,Moraes autoriza transferência de condenados no caso Marielle para RJ,20260315T151500Z,https://midias.correio24horas.com.br/2024/11/18/domingos-brazao-2506496.jpeg,correio24horas.com.br,Portuguese,Brazil
https://screenrant.com/db/movie/family-movie/,,"Family Movie Summary , Trailer , Cast , Where to Watch and More",20260315T144500Z,,screenrant.com,English,United States
https://danviet.vn/canh-sat-xac-dinh-vu-no-sung-khien-2-nguoi-tu-vong-o-hung-yen-la-do-mau-thuan-tinh-ai-d1410438.html,,Cảnh sát xác định vụ nổ súng khiến 2 người tử vong ở Hưng Yên là do mâu thuẫn tình ái,20260315T143000Z,https://t.ex-cdn.com/danviet.vn/800w/files/content/2026/03/15/truy-bat-hung-thu-lien-quan-vu-trong-an-khien-2-nguoi-tu-vong-o-dong-tien-hai-hung-yen-2022.jpg,danviet.vn,Vietnamese,Vietnam
https://www.chinatimes.com/realtimenews/20260315002575-260402,,狼叔魔爪伸向姪女 ！ 過年團聚竟兩度猥褻未滿14歲少女 遭重判3年8月 - 社會,20260315T134500Z,https://images.chinatimes.com/newsphoto/2026-03-15/656/20260315002576.jpg,chinatimes.com,Chinese,Taiwan
https://www.vetogate.com/5614889,,السجن 3 سنوات لمحام بتهمة سب وزيرة الثقافة,20260315T144500Z,,vetogate.com,Arabic,Egypt
https://komiinform.ru/news/292860,,"В Ухте вынесли приговор девушке , которая купила поддельные водительские права за 126 тысяч рублей",20260315T143000Z,https://komiinform.ru/content/news/images/292860/IMG_4711_cleaned_list.jpg,komiinform.ru,Russian,Russia
